pairing_layer,folding_layer,bin_width_ps,dim,frame_origin_ps,n_pairs,A40,total_sum,diag_main_sum,diag_main_fraction,diag_uniformity_cv,diag_fft_k_dim2,diag_fft_k_dim4,diag_fft_max_nonzero
nearest,folded_without_strict,40,16,0.0,663969,0.00686281684567092,663969.0,375101.0,0.5649375196733583,0.043211396165731976,0.04254587431118552,0.00147610039572001,0.04254587431118552
nearest,folded_strict_single_hit_per_frame,40,16,0.0,631478,0.00686281684567092,631478.0,374207.0,0.5925891321629574,0.0432867340305156,0.042594072264816,0.0015971274073412688,0.042594072264816
nearest,folded_without_strict,50,4,0.0,663969,0.00686281684567092,663969.0,426939.0,0.6430104417525517,0.1048545263035127,0.060591794143894095,0.06051076833406596,0.060591794143894095
nearest,folded_strict_single_hit_per_frame,50,4,0.0,587452,0.00686281684567092,587452.0,422006.0,0.7183667772005202,0.10417741969499193,0.060037061084439555,0.0602016863162892,0.06020168631628921
nearest,folded_without_strict,50,8,0.0,663969,0.00686281684567092,663969.0,424210.0,0.6389003101048393,0.1056577284905232,0.060389901228165295,0.06025381857397389,0.060389901228165295
nearest,folded_strict_single_hit_per_frame,50,8,0.0,618297,0.00686281684567092,618297.0,422006.0,0.6825295933831153,0.10537275709117204,0.060037061084439555,0.0602016863162892,0.06020168631628921
nearest,folded_without_strict,50,16,0.0,663969,0.00686281684567092,663969.0,423131.0,0.6372752342353333,0.10566704959301643,0.06023902762974114,0.06027049832826941,0.06027049832826941
nearest,folded_strict_single_hit_per_frame,50,16,0.0,636819,0.00686281684567092,636819.0,422006.0,0.6626780922051635,0.10546307966568891,0.060037061084439555,0.0602016863162892,0.06020168631628921
nearest,folded_without_strict,60,4,0.0,663969,0.00686281684567092,663969.0,460679.0,0.6938260671808473,0.09427859396529943,0.09262631897698831,0.012426148092772118,0.09262631897698831
nearest,folded_strict_single_hit_per_frame,60,4,0.0,597243,0.00686281684567092,597243.0,455557.0,0.7627665790976202,0.09400924790110654,0.09236385348046458,0.012382593855307086,0.09236385348046458
nearest,folded_without_strict,60,8,0.0,663969,0.00686281684567092,663969.0,458087.0,0.6899222704674465,0.09409326020523379,0.09239947870164401,0.012400253979497441,0.09239947870164401
nearest,folded_strict_single_hit_per_frame,60,8,0.0,623738,0.00686281684567092,623738.0,455557.0,0.7303659549362072,0.0940588961324464,0.09236385348046458,0.012382593855307086,0.09236385348046458
nearest,folded_without_strict,60,16,0.0,663969,0.00686281684567092,663969.0,456785.0,0.68796133554428,0.09412410694797187,0.09226003480849852,0.012389603118678762,0.09226003480849852
nearest,folded_strict_single_hit_per_frame,60,16,0.0,640774,0.00686281684567092,640774.0,455557.0,0.7109480097507077,0.0942266466668148,0.09236385348046458,0.012382593855307086,0.09236385348046458
nearest,folded_without_strict,80,4,0.0,663969,0.00686281684567092,663969.0,505848.0,0.7618548456328533,0.0030437405990203403,0.000703768721038731,0.0020939276994934915,0.0020939276994934915
nearest,folded_strict_single_hit_per_frame,80,4,0.0,609971,0.00686281684567092,609971.0,500930.0,0.821235763667453,0.002949323220485761,0.0008184776316052143,0.002003572038317866,0.002003572038317866
nearest,folded_without_strict,80,8,0.0,663969,0.00686281684567092,663969.0,502613.0,0.7569826302131576,0.004722609815508913,0.0007102880347304984,0.002022083080256487,0.002564029344528372
nearest,folded_strict_single_hit_per_frame,80,8,0.0,631478,0.00686281684567092,631478.0,500930.0,0.7932659570087952,0.004828893824303288,0.0008184776316052143,0.002003572038317866,0.0026676262825971317
nearest,folded_without_strict,80,16,0.0,663969,0.00686281684567092,663969.0,500930.0,0.7544478733193869,0.005801207002050551,0.0008184776316052143,0.002003572038317866,0.0026676262825971317
nearest,folded_strict_single_hit_per_frame,80,16,0.0,646783,0.00686281684567092,646783.0,500930.0,0.7744946914189148,0.005801207002050551,0.0008184776316052143,0.002003572038317866,0.0026676262825971317
greedy_unique,raw_paired_dt,0,0,0.0,663969,0.00686281684567092,663969.0,nan,nan,nan,nan,nan,nan
greedy_unique,folded_without_strict,20,4,0.0,663969,0.00686281684567092,663969.0,239396.0,0.36055297762395533,0.37471256699312616,0.36660595832845994,0.05481596109095222,0.36660595832845994
greedy_unique,folded_strict_single_hit_per_frame,20,4,0.0,500930,0.00686281684567092,500930.0,228413.0,0.4559778811410776,0.37280362168293263,0.36465962970583987,0.054799155115343334,0.36465962970583987
